2024-07-26 19:07:947 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (673a436a9b03e7886300d0239936fa56)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:390 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (673a436a9b03e7886300d0239936fa56)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-26 19:07:240 INFO  HomePage :32 - get the title of the page: 
2024-07-26 19:07:389 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:532 INFO  HomePage :59 - selectTopMenu: [[[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-07-26 19:07:653 INFO  OnlineSlotsPage :19 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (5c0c4db4295a4abdaa98b645e79511fd)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
2024-07-27 08:07:654 INFO  HomePage :32 - get the title of the page: 
2024-07-27 08:07:730 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (5fc491d9b057aba5e3b32052cf62203b)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-27 08:07:947 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (5fc491d9b057aba5e3b32052cf62203b)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-27 08:07:738 INFO  HomePage :32 - get the title of the page: 
2024-07-27 08:07:802 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-27 08:07:881 INFO  HomePage :59 - selectTopMenu: [[[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-07-27 08:07:159 INFO  OnlineSlotsPage :19 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (1617a1466b056d725ece156d4f502176)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
